Country,ActorName,ActorType,AffiliationTo,AffiliationStartDate,AffiliationEndDate,Aliases
Albania,Arben Malaj,Individual,Government (Ministry of Finance),12/29/2003,9/11/2005,Arben Malaj
Albania,Arben Malaj,Individual,Ministry of Economy Trade and Energy,8/1/2002,12/28/2003,Arben Malaj
Albania,Arben Malaj,Individual,Socialist Party of Albania,BOT,EOT,Arben Malaj
Albania,Arben Malaj,Individual,World Bank,BOT,EOT,Arben Malaj
Albania,Arben Rakipi,Individual,Justice / Law Ministry (Albania),8/1/1997,3/18/2002,Arben Rakipi
Albania,Arjan Starova,Individual,Elite (Albania),3/11/1997,EOT,Arjan Starova
Albania,Arjan Starova,Individual,Foreign Ministry (Albania),3/11/1997,7/25/1997,Arjan Starova
Albania,Armando Meta,Individual,News (Albania),BOT,EOT,Armando Meta
Albania,Arta Dade,Individual,Assembly of the Republic of Albania,1/1/1997,12/31/2001,Arta Dade
Albania,Arta Dade,Individual,Cabinet (Albania),7/1/1997,4/1/1998,Arta Dade
Albania,Arta Dade,Individual,Cabinet (Albania),9/12/2001,7/31/2002,Arta Dade
Albania,Arta Dade,Individual,Government (Ministry of Foreign Affairs),9/12/2001,7/31/2002,Arta Dade
Albania,Arta Dade,Individual,"Ministry of Tourism, Cultural Affairs, Youth, and Sports",7/1/1997,4/1/1998,Arta Dade
Albania,Arta Dade,Individual,Socialist Party of Albania,1/1/1991,EOT,Arta Dade
Albania,Artur Kuko,Individual,Ministry of Foreign Affairs,BOT,EOT,Artur Kuko
Albania,Assembly of the Republic of Albania,Group,Legislative / Parliamentary (Albania),BOT,EOT,Assembly Of The Republic Of Albania ; People'S Parliament Of Albania
Albania,Azem Hajdari,Individual,Assembly of the Republic of Albania,3/31/1991,9/12/1998,Azem Shpend Hajdari ; Azem Hajdari
Albania,Azem Hajdari,Individual,KS Vllaznia ShkodÃ«r,1/1/1995,9/12/1998,Azem Shpend Hajdari ; Azem Hajdari
Albania,Bajram Yzeiri,Individual,Elite (Albania),6/11/1991,EOT,Bajram Yzeiri
Albania,Bajram Yzeiri,Individual,Interior / Home Ministry (Albania),6/11/1991,12/18/1991,Bajram Yzeiri
Albania,Bamir Topi,Individual,Assembly of the Republic of Albania,1/1/1996,7/23/2007,Bamir Topi ; Bamir Myrteza Topi
Albania,Bamir Topi,Individual,Democratic Party of Albania,BOT,EOT,Bamir Topi ; Bamir Myrteza Topi
Albania,Bamir Topi,Individual,Elite (Albania),BOT,EOT,Bamir Topi ; Bamir Myrteza Topi
Albania,Bamir Topi,Individual,Executive Office (Albania),7/24/2007,7/24/2012,Bamir Topi ; Bamir Myrteza Topi
Albania,Bamir Topi,Individual,Government (Albania),7/24/2007,7/24/2012,Bamir Topi ; Bamir Myrteza Topi
Albania,Bank of Albania,Group,Finance / Economy / Commerce / Trade Ministry (Albania),BOT,EOT,Bank Of Albania
Albania,Bashkim Fino,Individual,Assembly of the Republic of Albania,BOT,EOT,Bashkim Fino
Albania,Bashkim Fino,Individual,Elite (Albania),BOT,EOT,Bashkim Fino
Albania,Bashkim Fino,Individual,Executive Office (Albania),3/11/1997,7/24/1997,Bashkim Fino
Albania,Bashkim Fino,Individual,Executive Office (Albania),1/2/1998,1/1/2001,Bashkim Fino
Albania,Bashkim Fino,Individual,Government (Albania),3/11/1997,7/24/1997,Bashkim Fino
Albania,Bashkim Fino,Individual,Ministry of Public Works and Tourism,1/2/2001,EOT,Bashkim Fino
Albania,Bashkim Fino,Individual,Socialist Party of Albania,BOT,EOT,Bashkim Fino
Albania,Bashkim Kopliku,Individual,Elite (Albania),4/13/1992,EOT,Bashkim Kopliku
Albania,Bashkim Kopliku,Individual,Interior / Home Ministry (Albania),4/13/1992,4/6/1993,Bashkim Kopliku
Albania,Belul Ã‡elo,Individual,Elite (Albania),3/11/1997,EOT,Belul Celo
Albania,Belul Ã‡elo,Individual,Interior / Home Ministry (Albania),3/11/1997,7/25/1997,Belul Celo
Albania,Ben Blushi,Individual,Social Democratic Party of Albania,BOT,EOT,B Blushi ; B. Blushi ; Ben Blushi
Albania,Besnik Dervishi,Individual,Ministry of Economy Trade and Energy,BOT,7/30/2002,B. Dervishi ; B Dervishi ; Besnik Dervishi
Albania,Besnik Dervishi,Individual,Ministry of Territory Planning and Tourism,7/31/2002,12/1/2003,B. Dervishi ; B Dervishi ; Besnik Dervishi
Albania,Besnik Dervishi,Individual,Ministry of Transport,BOT,EOT,B. Dervishi ; B Dervishi ; Besnik Dervishi
Albania,Besnik Dervishi,Individual,Socialist Party of Albania,BOT,EOT,B. Dervishi ; B Dervishi ; Besnik Dervishi
Albania,Besnik Mustafaj,Individual,Elite (Albania),9/11/2005,EOT,Besnik Mustafaj
Albania,Besnik Mustafaj,Individual,Foreign Ministry (Albania),9/11/2005,5/2/2007,Besnik Mustafaj
Albania,Bujar Nishani,Individual,Elite (Albania),3/20/2007,EOT,Bujar Nishani
Albania,Bujar Nishani,Individual,Executive Office (Albania),7/24/2012,EOT,Bujar Nishani
Albania,Bujar Nishani,Individual,Interior / Home Ministry (Albania),3/20/2007,9/17/2009,Bujar Nishani
Albania,Bujar Nishani,Individual,Justice / Law Ministry (Albania),9/17/2009,4/25/2011,Bujar Nishani
Albania,Bujar Nishani,Individual,Ministry of Interior Affairs,4/25/2011,6/12/2012,Bujar Nishani
Albania,Dashamir Kore,Individual,Elite (Albania),2/22/1991,EOT,Dashamir Kore
Albania,Dashamir Kore,Individual,Justice / Law Ministry (Albania),2/22/1991,5/12/1991,Dashamir Kore
Albania,Democratic Alliance Party,Group,(National) Minor Party (Albania),BOT,EOT,Democratic Alliance Party
Albania,Democratic Alliance Party,Group,Centrist,BOT,EOT,Democratic Alliance Party
Albania,Democratic Party of Albania,Group,(National) Major Party (Albania),BOT,EOT,Democratic Party Of Albania
Albania,Democratic Party of Albania,Group,Center Right,BOT,EOT,Democratic Party Of Albania
Albania,Ditmir Bushati,Individual,Ministry of Foreign Affairs,9/15/2013,EOT,Ditmir Bushati
Albania,Dorina Tanushi,Individual,Shekulli,BOT,EOT,D. Tanushi ; Darina Tanushi ; D Tanushi ; Dorina Tanushi
Albania,Dylber Vrioni,Individual,Elite (Albania),12/4/1994,EOT,Dylber Vrioni
